Duration,Date,Pulse,Maxpulse,Calories,Calories_per_minute,Intensity_percent,Day_of_week,Workout_type
60,2020-12-01,110,130,409.1,6.82,84.6,Tuesday,Long
60,2020-12-02,117,145,479.0,7.98,80.7,Wednesday,Long
60,2020-12-03,103,135,340.0,5.67,76.3,Thursday,Long
45,2020-12-04,109,175,282.4,6.28,62.3,Friday,Medium
45,2020-12-05,117,148,406.0,9.02,79.1,Saturday,Medium
60,2020-12-06,102,127,300.0,5.0,80.3,Sunday,Long
60,2020-12-07,110,136,374.0,6.23,80.9,Monday,Long
45,2020-12-08,104,134,253.3,5.63,77.6,Tuesday,Medium
30,2020-12-09,109,133,195.1,6.5,82.0,Wednesday,Short
60,2020-12-10,98,124,269.0,4.48,79.0,Thursday,Long
60,2020-12-11,103,147,329.3,5.49,70.1,Friday,Long
60,2020-12-12,100,120,250.7,4.18,83.3,Saturday,Long
60,2020-12-13,106,128,345.3,5.76,82.8,Sunday,Long
60,2020-12-14,104,132,379.3,6.32,78.8,Monday,Long
60,2020-12-15,98,123,275.0,4.58,79.7,Tuesday,Long
60,2020-12-16,98,120,215.2,3.59,81.7,Wednesday,Long
60,2020-12-17,100,120,300.0,5.0,83.3,Thursday,Long
45,2020-12-18,90,112,300.0,6.67,80.4,Friday,Medium
60,2020-12-19,103,123,323.0,5.38,83.7,Saturday,Long
45,2020-12-20,97,125,243.0,5.4,77.6,Sunday,Medium
60,2020-12-21,108,131,364.2,6.07,82.4,Monday,Long
60,2020-12-23,101,130,300.0,5.0,77.7,Wednesday,Long
45,2020-12-24,105,132,246.0,5.47,79.5,Thursday,Medium
60,2020-12-25,102,126,334.5,5.58,81.0,Friday,Long
60,2020-12-26,100,120,250.0,4.17,83.3,Saturday,Long
60,2020-12-27,92,118,241.0,4.02,78.0,Sunday,Long
60,2020-12-28,103,132,300.0,5.0,78.0,Monday,Long
60,2020-12-29,100,132,280.0,4.67,75.8,Tuesday,Long
60,2020-12-30,102,129,380.3,6.34,79.1,Wednesday,Long
60,2020-12-31,92,115,243.0,4.05,80.0,Thursday,Long
